age,income,tenure_years,credit_score,employment_type,application_date,approval_date,target
37.7,61609.09,0.53,732.0,fulltime,2023-08-27,2023-09-07,1
55.3,87761.72,0.47,727.0,full time ,2024-04-25,2024-05-09,0
57.5,86573.36,5.9,635.0,FULL TIME,2023-05-14,2023-05-15,0
35.1,68649.95,7.4,691.0,Self Employed,2024-01-30,2024-02-03,0
48.6,117456.4,0.69,715.0,self-employed,2023-12-22,2024-01-04,0
64.0,35823.56,4.47,582.0,self-employed,2023-12-20,2023-12-29,0
35.9,62407.5,0.29,628.0,self-employed,2023-06-02,2023-06-05,0
46.6,61141.25,3.15,660.0,full time ,2023-10-14,2023-10-15,0
174.5,88742.24,2.12,733.0,part-time,2023-03-12,2023-03-28,1
12.0,,7.48,835.0,unemployed,2023-04-11,2023-04-17,1
,78134.88,6.17,793.0,FULL TIME,2023-09-16,2023-09-27,0
24.7,61456.06,1.04,651.0,Contract ,2023-11-21,2023-12-10,1
,35929.08,4.14,,Contract ,2024-04-29,2024-05-09,0
55.6,76053.79,4.54,,FULL TIME,2024-02-14,2024-02-24,1
36.3,,1.4,622.0,self-employed,2023-07-13,2023-07-14,1
62.6,653053.2,0.86,684.0,fulltime,2023-01-23,2023-02-11,1
55.0,84401.18,0.18,675.0,Self Employed,2023-10-03,2023-10-19,1
43.9,47623.68,,670.0,Contract ,2023-12-24,2024-01-09,1
38.0,64008.16,9.26,706.0,Contract ,2023-06-29,2023-06-30,1
,68263.66,1.72,,full time ,2023-01-13,2023-01-30,1
24.1,,0.98,,Self Employed,2024-01-22,2024-02-01,0
44.7,55017.7,0.82,607.0,Self Employed,2023-09-05,2023-09-06,0
,82988.05,0.27,659.0,Part-Time,2024-04-01,2024-04-19,0
44.4,60448.13,7.82,629.0,part time,2023-03-03,2023-03-04,1
43.1,26575.51,5.63,699.0,FULL TIME,2024-02-21,2024-03-07,0
30.1,42516.92,6.93,713.0,fulltime,2024-04-11,2024-04-15,1
44.6,81493.61,0.34,680.0,Contract ,2023-01-17,2023-02-04,1
42.8,60457.27,,676.0,part-time,2023-12-24,2024-01-02,1
26.9,28857.93,1.41,778.0,contract,2024-01-01,2024-01-20,0
38.8,83851.68,1.65,659.0,FULL TIME,2023-04-05,2023-04-12,0
30.6,80805.05,2.99,713.0,FULL TIME,2024-03-19,2024-03-27,0
,55426.21,0.71,670.0,full-time,2023-01-29,2023-01-30,0
44.7,51931.73,1.25,675.0,contract,2023-10-13,2023-10-14,0
42.6,82293.22,0.11,676.0,Self Employed,2023-06-12,2023-06-14,1
,64841.7,0.87,674.0,fulltime,2023-02-08,2023-02-22,1
52.0,58004.6,7.15,722.0,self-employed,2023-07-17,2023-07-30,0
34.2,52156.03,10.94,,Unemployed,2023-12-12,2023-12-24,1
,56800.5,3.75,604.0,Full-Time,2023-10-09,2023-10-16,1
57.8,71785.06,2.92,627.0,Self Employed,2023-10-07,2023-10-14,0
38.0,45950.94,11.79,719.0,part-time,2023-01-31,2023-02-14,0
,,,683.0,full-time,2023-06-17,2023-06-21,0
27.5,71751.12,4.0,772.0,self employed,2024-04-29,2024-05-11,1
,49230.02,1.61,675.0,Full-Time,2024-03-21,2024-04-01,0
33.1,41746.12,2.77,609.0,unemployed,2023-01-13,2023-01-26,1
33.8,1175347.8,0.61,,Unemployed,2024-04-20,2024-05-05,1
21.6,54911.91,3.88,713.0,contract,2023-07-31,2023-08-11,1
57.1,60343.29,0.38,,part time,2023-01-07,2022-12-29,0
65.6,83807.71,8.75,770.0,full-time,2024-02-07,2024-02-10,1
,,8.75,688.0,self-employed,2023-02-17,2023-02-24,1
38.8,79835.59,2.3,,full-time,2023-12-26,2023-12-29,1
